id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,quality_score,readability_score,is_multi_table,text_model,vision_model
400,Scatter,Easy,6.4185,12.8369,2,1947,458,2405,973.5,229.0,1202.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
402,Pie,Medium,6.4324,12.8648,2,1911,459,2370,955.5,229.5,1185.0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
403,Bar,Medium,6.8474,6.8474,1,955,245,1200,955.0,245.0,1200.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
405,Bar,Easy,7.0651,14.1303,2,1894,504,2398,947.0,252.0,1199.0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
409,Grouping Scatter,Easy,14.6257,14.6257,1,2002,515,2517,2002.0,515.0,2517.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
416,Line,Medium,6.7543,6.7543,1,939,236,1175,939.0,236.0,1175.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
419,Pie,Medium,8.9727,17.9454,2,1667,640,2307,833.5,320.0,1153.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
432,Scatter,Easy,7.2918,21.8755,3,2808,778,3586,936.0,259.3333,1195.3333,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
433,Pie,Medium,9.2322,27.6966,3,2946,988,3934,982.0,329.3333,1311.3333,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
440,Bar,Hard,9.643,9.643,1,1661,334,1995,1661.0,334.0,1995.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
